Data,Kraków - Aleja Krasińskiego (pył zawieszony PM10 [jednostka ug/m3]),Zakopane - ul. Sienkiewicza (pył zawieszony PM10 [jednostka ug/m3]),Zakopane - ul. Sienkiewicza (pył zawieszony PM2.5 [jednostka ug/m3]),Katowice - ul. Kossutha (pył zawieszony PM10 [jednostka ug/m3])
2024-12-01,36.83,31.88,27.40,34.98,
2024-12-02,37.40,36.87,30.30,35.51,
2024-12-03,64.15,36.30,29.10,31.16,
2024-12-04,54.97,36.38,29.60,47.36,
2024-12-05,60.80,39.43,31.90,65.10,
2024-12-06,39.77,34.25,28.40,40.92,
2024-12-07,25.30,50.67,39.60,32.40,
2024-12-08,37.55,20.22,15.20,44.39,
2024-12-09,18.20,18.57,12.90,27.15,
2024-12-10,11.07,11.82,7.50,16.60,
2024-12-11,28.52,22.15,18.70,28.67,
2024-12-12,34.53,21.29,14.20,34.46,
2024-12-13,48.92,19.82,13.80,41.12,
2024-12-14,48.40,54.65,44.90,34.76,
2024-12-15,16.75,7.97,6.70,18.93,
2024-12-16,9.98,6.88,4.50,8.89,
2024-12-17,16.22,7.57,5.50,11.05,
2024-12-18,55.15,10.12,7.50,15.01,
2024-12-19,81.30,6.67,4.60,18.67,
2024-12-20,28.56,13.35,10.30,12.41,
2024-12-21,39.20,17.69,12.90,14.24,
2024-12-22,24.90,21.97,18.40,10.02,
2024-12-23,31.07,15.58,10.70,27.97,
2024-12-24,26.23,21.36,16.70,36.98,
2024-12-25,19.21,13.22,7.50,37.15,
2024-12-26,45.91,49.89,38.40,66.76,
2024-12-27,62.57,44.08,34.50,98.74,
2024-12-28,60.82,42.71,35.50,126.22,
2024-12-29,72.60,25.72,20.20,92.00,
2024-12-30,80.30,15.25,12.80,96.67,
2024-12-31,70.96,53.18,41.20,30.76,
